Trial_ID,Sim_Time,Dev_EUI,Node_ID,F_Cnt,Msgs_Window,Target,Server_Sat,Net_Status_Flag,Node_State,Node_Action,Node_Period,Active_Nodes
1,1903.17,70b3d57ed0073859,4,17,31,30,98.42,1,2,REWARD,60,6
1,1919.75,70b3d57ed0073864,5,27,30,30,100.0,0,3,REWARD,60,6
1,1925.35,70b3d57ed007386a,6,29,30,30,100.0,0,3,REWARD,60,6
1,1933.44,70b3d57ed007386c,7,32,30,30,100.0,0,3,REWARD,60,6
1,1934.27,70b3d57ed00733ea,2,21,30,30,100.0,0,3,REWARD,60,6
1,1943.93,70b3d57ed007334e,1,25,31,30,98.42,1,3,REWARD,60,6
1,1962.99,70b3d57ed0073859,4,18,31,30,98.42,1,2,REWARD,60,6
1,1979.74,70b3d57ed0073864,5,28,31,30,98.42,1,3,PUNISH,60,6
1,1985.35,70b3d57ed007386a,6,30,31,30,98.42,1,3,REWARD,60,6
1,1993.44,70b3d57ed007386c,7,33,30,30,100.0,0,3,REWARD,60,6
1,1994.27,70b3d57ed00733ea,2,22,30,30,100.0,0,3,REWARD,60,6
1,2003.93,70b3d57ed007334e,1,26,31,30,98.42,1,3,REWARD,60,6
1,2022.81,70b3d57ed0073859,4,19,31,30,98.42,1,2,REWARD,60,6
1,2039.75,70b3d57ed0073864,5,29,30,30,100.0,0,4,REWARD,60,6
1,2045.36,70b3d57ed007386a,6,31,30,30,100.0,0,3,REWARD,60,6
1,2053.44,70b3d57ed007386c,7,34,31,30,98.42,1,3,REWARD,60,6
1,2054.28,70b3d57ed00733ea,2,23,31,30,98.42,1,3,REWARD,60,6
1,2063.91,70b3d57ed007334e,1,27,31,30,98.42,1,3,REWARD,60,6
1,2082.64,70b3d57ed0073859,4,20,31,30,98.42,1,2,PUNISH,60,6
1,2099.76,70b3d57ed0073864,5,30,31,30,98.42,1,3,REWARD,60,6
1,2105.36,70b3d57ed007386a,6,32,31,30,98.42,1,3,REWARD,60,6
1,2113.44,70b3d57ed007386c,7,35,31,30,98.42,1,3,REWARD,60,6
1,2114.28,70b3d57ed00733ea,2,24,31,30,98.42,1,3,REWARD,60,6
1,2123.93,70b3d57ed007334e,1,28,30,30,100.0,0,3,REWARD,60,6
1,2142.48,70b3d57ed0073859,4,21,31,30,98.42,1,2,REWARD,60,6
1,2159.74,70b3d57ed0073864,5,31,31,30,98.42,1,3,REWARD,60,6
